equipment_model_id,model,make,equipment_type,specs_url,is_cnc,manufacturer_image_urls,capabilities,equipment_model_name,created_at,last_updated,specific_specs
05d96f72-2b1a-4310-b9da-c983a7fbf6c5,FUSE 1,Formlabs,3D Printer,,true,"[""05d96f72-2b1a-4310-b9da-c983a7fbf6c5/formlabs_fuse1.webp""]","[""3D print""]",Formlabs FUSE 1 SLS Printer,2025-07-16 20:45:20.939839+00,2025-07-16 20:45:20.939839+00,"{""bed_cm"":""16.5 x 16.5 x 30.0"",""print_speed"":""Varies""}"
067e5e7d-04f8-4321-b989-1fd537889061,ShopBot,ShopBot,Cnc Router,https://docs.google.com/document/d/1JfOShgeXLpGsQ0OfnWDfYheerQUW144qVhuE4nTOIOg/edit,true,"[""067e5e7d-04f8-4321-b989-1fd537889061/shopbot.jpg""]","[""Route"",""Mill"",""Cut""]",ShopBot,2025-12-16 02:52:29.691792+00,2025-12-16 02:52:29.691792+00,
08d60562-7d7f-4f5f-84b3-8e5bfc9798c3,Chop saw,Bosch,Chop Saw,,false,"[""08d60562-7d7f-4f5f-84b3-8e5bfc9798c3/bosch.webp""]","[""cut""]",Bosch chop saw,2025-07-16 20:45:20.939839+00,2025-07-16 20:45:20.939839+00,"{""blade_diameter_in"":8.5,""max_blade_speed_rpm"":5600,""bevel_angle_range_deg"":""2 left - 47 right"",""miter_angle_range_deg"":""52 left - 60 right"",""max_cut_depth_0_deg_bevel_in"":2,""max_cut_depth_45_deg_bevel_in"":2}"
0a5ae86b-2e4c-4281-93e3-39250b5bc783,Downdraft Table,Downdraft Table,Downdraft Table,https://docs.google.com/document/d/1riStNl0guzMM9YgmHNxfTkGZujfnS6oYvmQ4wVkPWCo/edit?tab=t.0,false,"[""0a5ae86b-2e4c-4281-93e3-39250b5bc783/downdraft_tables.jpg""]","[""grind"",""sand""]",Downdraft Table,2025-12-16 02:52:29.691792+00,2025-12-16 02:52:29.691792+00,
12895fe9-6816-4a54-b8c9-67a678694bf6,Mini band saw,Dayton,Band Saw,,false,"[""12895fe9-6816-4a54-b8c9-67a678694bf6/dayton.jpg""]","[""cut""]",Dayton mini band saw,2025-07-16 20:45:20.939839+00,2025-07-16 20:45:20.939839+00,"{""throat_depth_in"":""Vertical 9.5"",""blade_thickness_in"":0.025,""miter_angle_range_deg"":""0-45"",""rectangular_cutting_capacity_in"":""Horizontal 4 x 9.5""}"
149fbf80-5442-4a82-9d01-4d4ba116b3eb,PLS60.150D,Universal Systems,CO2 Laser,,true,"[""149fbf80-5442-4a82-9d01-4d4ba116b3eb/universal.png""]","[""cut""]",Universal systems PLS60.150D,2025-07-16 20:45:20.939839+00,2025-07-16 20:45:20.939839+00,"{""bed_in"":""18 x 32 x 6"",""resolution"":""User controlled from 75 to 1200 dpi"",""max_thickness"":""Varies by material"",""operating_modes"":""Optimized raster, vector or combined""}"
168c7c8a-bf27-46e8-af02-f0aa1f3894fd,ProtoMax,OMAX,Waterjet,,true,"[""168c7c8a-bf27-46e8-af02-f0aa1f3894fd/protomax.jpg""]","[""cut"",""drill""]",ProtoMax,2025-07-16 20:45:20.939839+00,2025-07-16 20:45:20.939839+00,"{""bed_in"":""12 x 12"",""max_thickness_in"":1}"
16a371f6-426c-43f5-92d8-0f51d19a4760,Ender 3 V2,Creality,3D Printer,,true,"[""16a371f6-426c-43f5-92d8-0f51d19a4760/ender3.jpg""]","[""3D print""]",Ender 3 V2 FDM Printer,2025-07-16 20:45:20.939839+00,2025-07-16 20:45:20.939839+00,"{""bed_mm"":""220 x 220 x 250"",""print_speed_mm/s"":180}"
1e3e2efd-01f1-41d3-aaca-c6f9c39af47c,Tool Box,Tool Box,Storage,https://docs.google.com/document/d/1Ke_nQYWnkDgiJn0YuLDbg4eoXKzR8jMaK1QcFk9P_8g/edit,false,"[""1e3e2efd-01f1-41d3-aaca-c6f9c39af47c/tool_box.png""]","[""Store""]",Tool Box,2025-12-16 02:52:29.691792+00,2025-12-16 02:52:29.691792+00,
2121d608-6368-4d8f-ade2-c77d5a71a1c3,Horizontal Bandsaw,Horizontal Bandsaw,Bandsaw,https://docs.google.com/document/d/1P1f1SZQM7pr22mYuOTvdkNEcOYmjpI51cYlQUNRv1Wo/edit,false,"[""2121d608-6368-4d8f-ade2-c77d5a71a1c3/horizontal_bandsaw.jpg""]","[""Cut""]",Horizontal Bandsaw,2025-12-16 02:52:29.691792+00,2025-12-16 02:52:29.691792+00,
